,Song,Artist,Genre,Composed,Release_year,Different albums,Covers,Rating
66,What Ever You Want,Jerry Butler,Pop/Rock,Bob Gaudio,1963,3,0,3.6666666666666665
67,Ain't Understanding Mellow,Jerry Butler ,R&B,Jerry Butler,1999,4,3,3.5
68,Power of Love/Love Power,Luther Vandross,R&B,Marcus Miller,1991,35,2,2.7857142857142856
69,Stop to Love,Luther Vandross,Pop/Rock,"Nat Adderley, Jr.",1986,33,1,2.833333333333333
70,Here and Now,Luther Vandross,R&B,David Elliot,1989,13,0,2.9545454545454546
71,Dance With My Father,Luther Vandross,Pop/Rock,Richard Marx,2003,10,19,3.0
72,Give Me the Reason,Luther Vandross,Pop/Rock,"Nat Adderley, Jr.",1985,19,3,3.25
73,Don't Want to Be a Fool,Luther Vandross,R&B,Marcus Miller,1991,20,2,2.9
74,Your Secret Love,Luther Vandross,Pop/Rock,Luther Vandross,1996,9,2,3.2857142857142856
75,House Is Not a Home,Luther Vandross,R&B,Burt Bacharach,1981,21,107,3.4166666666666665
76,Endless Love,Luther Vandross,Pop/Rock,Lionel Richie,1994,17,117,3.4444444444444446
77,Any Love,Luther Vandross,R&B,Marcus Miller,1988,15,10,3.363636363636364
78,Love the One You're With,Luther Vandross,Pop/Rock,Stephen Stills,1994,14,83,3.1
79,'Til My Baby Comes Home,Luther Vandross,R&B,Marcus Miller,1985,12,2,3.090909090909091
80,How Many Times Can We Say Goodbye,Luther Vandross ,Pop/Rock,Steve Goldman,1983,11,2,3.375
81,If Only for One Night,Luther Vandross,Pop/Rock,Brenda Russell,1985,10,15,3.357142857142857
82,Superstar/Until You Come Back to Me (That's What I'm Gonna Do),Luther Vandross,Pop/Rock,Bonnie Bramlett,1983,10,0,3.1
83,Since I Lost My Baby,Luther Vandross,R&B,"Warren ""Pete"" Moore",1982,10,19,3.555555555555556
84,Stardust,Doc Severinsen,Laid-Back/Mellow,Hoagy Carmichael,1982,3,1006,2.833333333333333
85,Johnny's Theme AKA the Tonight Show Theme,Doc Severinsen ,Easy Listening,Paul Anka,2003,1,0,3.5
86,Good Medicine,Doc Severinsen,Jazz,Don Sebesky,1971,4,0,2.6666666666666665
87,Twist and Shout,Isley Brothers,Pop/Rock,Phil Medley,1962,94,105,2.8983050847457625
